자원명,관리기관구분,시도,군구,경도,위도
(구)북부지법주변 공영주차장,지방자치단체,서울특별시,노원구,127.0767,37.61967
DDP동측(양쪽),지방자치단체,서울특별시,중구,127.0105,37.56596
DDP북측 마장로,지방자치단체,서울특별시,중구,127.011,37.56817
KBS별관뒤,지방자치단체,서울특별시,영등포구,126.9291,37.51933
KBS별관옆,지방자치단체,서울특별시,영등포구,126.9299,37.5198
KBS본관뒤,지방자치단체,서울특별시,영등포구,126.9303,37.52853
KBS본관앞,지방자치단체,서울특별시,영등포구,126.9171,37.52643
KBS연구관앞,지방자치단체,서울특별시,영등포구,126.915,37.527
MBC방송국뒤,지방자치단체,서울특별시,영등포구,126.9309,37.5239
가락초,교육청,서울특별시,송파구,127.1076044,37.50002115
가마산고가밑,지방자치단체,서울특별시,구로구,126.8825,37.49269
가산동 금천교,지방자치단체,서울특별시,금천구,126.8876,37.466
가양3동,지방자치단체,서울특별시,강서구,126.8598,37.56033
가재울고,교육청,서울특별시,서대문구,126.9095297,37.5743637
강남대로 150길,지방자치단체,서울특별시,강남구,127.0202,37.51586
강남중,교육청,서울특별시,동작구,126.9233466,37.50276263
강동고,교육청,서울특별시,강동구,127.1606683,37.54991665
강서세무서,중앙행정기관,서울특별시,강서구,126.8215746,37.56231716
강신중,교육청,서울특별시,양천구,126.8381601,37.51513716
강현중,교육청,서울특별시,동작구,126.9307563,37.50311599
개운산 주차장,지방자치단체,서울특별시,성북구,127.0262388,37.59686703
개화산,지방자치단체,서울특별시,강서구,126.8052,37.57221
거원초,교육청,서울특별시,송파구,127.1449361,37.48762503
건영백화점앞 공영주차장,지방자치단체,서울특별시,노원구,127.0652,37.64061
경기고,교육청,서울특별시,강남구,127.0560755,37.51756454
경남,지방자치단체,서울특별시,마포구,126.9183898,37.5554479
경도상가앞,지방자치단체,서울특별시,영등포구,126.9303375,37.52002813
경문고,교육청,서울특별시,동작구,126.9822734,37.49341886
경복고,교육청,서울특별시,종로구,126.9715109,37.58594567
경인중,교육청,서울특별시,구로구,126.8536725,37.49846566
경호빌딩앞,지방자치단체,서울특별시,영등포구,126.9260155,37.52322442
고분다리전통시장,지방자치단체,서울특별시,강동구,127.1322482,37.542977
고척고,교육청,서울특별시,구로구,126.8498691,37.50804938
고척중,교육청,서울특별시,구로구,126.8613425,37.49974083
고척초,교육청,서울특별시,구로구,126.8569793,37.50094829
공단본부,지방자치단체,서울특별시,양천구,126.8713,37.53029
관악세무서,중앙행정기관,서울특별시,관악구,126.924447,37.4793071
관철동,지방자치단체,서울특별시,종로구,126.9867363,37.5684907
광신중,교육청,서울특별시,관악구,126.9259406,37.4644762
광운전자공고,교육청,서울특별시,노원구,127.0565452,37.61923977
광운초,교육청,서울특별시,성북구,127.0550771,37.61906522
광화문빌딩옆,지방자치단체,서울특별시,종로구,126.9737,37.57134
교동초,교육청,서울특별시,종로구,126.9881513,37.57500567
교통공원길,지방자치단체,서울특별시,송파구,127.1036,37.51623
구로디지털,지방자치단체,서울특별시,구로구,126.9021,37.48486
구로세무서,중앙행정기관,서울특별시,영등포구,126.899731,37.5135715
구로중,교육청,서울특별시,구로구,126.8910999,37.49485972
구룡산제1호,지방자치단체,서울특별시,강남구,127.0648,37.47891
구룡산제2호,지방자치단체,서울특별시,강남구,127.0665,37.47726
구룡중,교육청,서울특별시,강남구,127.056121,37.48615258
구본청 공영주차장,지방자치단체,서울특별시,동작구,126.9399421,37.51252777
구암중,교육청,서울특별시,관악구,126.948602,37.49276407
구청사,지방자치단체,서울특별시,동대문구,127.0398966,37.57439172
국립의료원옆,지방자치단체,서울특별시,중구,127.0061,37.56698
국립중앙박물관,중앙행정기관,서울특별시,용산구,126.9777412,37.52470233
국립한글박물관,중앙행정기관,서울특별시,용산구,126.9804843,37.52106997
국민건강보험공단 구로지사,공공기관,서울특별시,구로구,126.8639705,37.49793475
국민연금공단 서울남부지역본부,공공기관,서울특별시,강남구,127.0226927,37.5169329
국민은행앞,지방자치단체,서울특별시,영등포구,126.9190843,37.52857858
국민일보사옥앞,지방자치단체,서울특별시,영등포구,126.9252804,37.52992065
군자초,교육청,서울특별시,동대문구,127.0605233,37.56412232
금나래초,교육청,서울특별시,금천구,126.8962056,37.45823
금동초,교육청,서울특별시,금천구,126.9163989,37.44773848
금천고,교육청,서울특별시,금천구,126.9049018,37.44489502
